Navami,22-10-2023,15:28:00,23-10-2023,13:14:00
Thasami,23-10-2023,13:14:00,24-10-2023,10:44:00
Egadashi,24-10-2023,10:44:00,25-10-2023,08:02:00
Duvadasi,24-10-2023,10:44:00,26-10-2023,05:14:00
Thirayodasi,25-10-2023,08:02:00,27-10-2023,02:26:00
Sathuradasi,27-10-2023,02:26:00,27-10-2023,23:47:00
Pournami,27-10-2023,23:47:00,28-10-2023,21:23:00
Pirathamai,28-10-2023,21:23:00,29-10-2023,18:22:00
Thuthiyai,29-10-2023,18:22:00,30-10-2023,16:52:00
Thiruthiyai,30-10-2023,16:52:00,31-10-2023,16:00:00
Sathurthi,31-10-2023,16:00:00,01-11-2023,15:49:00
Panjami,01-11-2023,15:49:00,02-11-2023,16:22:00
Shasti,02-11-2023,16:22:00,03-11-2023,17:37:00
Sapthami,03-11-2023,17:37:00,04-11-2023,19:29:00
Astami,04-11-2023,19:29:00,05-11-2023,21:48:00
Navami,05-11-2023,21:48:00,07-11-2023,00:20:00
Thasami,07-11-2023,00:20:00,08-11-2023,02:53:00
Egadashi,08-11-2023,02:53:00,09-11-2023,05:11:00
Duvadasi,09-11-2023,05:11:00,10-11-2023,07:05:00
Thirayodasi,10-11-2023,07:05:00,11-11-2023,00:00:00
Thirayodasi,11-11-2023,00:00:00,11-11-2023,08:27:00
Sathuradasi,11-11-2023,08:27:00,12-11-2023,09:14:00
Amavasai,12-11-2023,09:14:00,13-11-2023,09:26:00
Pirathamai,13-11-2023,09:26:00,14-11-2023,09:06:00
Thuthiyai,14-11-2023,09:06:00,15-11-2023,08:17:00
Thiruthiyai,14-11-2023,09:06:00,16-11-2023,07:04:00
Sathurthi,15-11-2023,08:17:00,17-11-2023,05:33:00
Panjami,17-11-2023,05:33:00,18-11-2023,03:48:00
Shasti,18-11-2023,03:48:00,19-11-2023,01:53:00
Sapthami,19-11-2023,01:53:00,19-11-2023,23:51:00
Astami,19-11-2023,23:51:00,20-11-2023,21:46:00
Navami,20-11-2023,21:46:00,21-11-2023,19:39:00
Thasami,21-11-2023,19:39:00,22-11-2023,17:33:00
Egadashi,22-11-2023,17:33:00,23-11-2023,15:31:00
Duvadasi,23-11-2023,15:31:00,24-11-2023,13:36:00
Thirayodasi,24-11-2023,13:36:00,25-11-2023,11:52:00
Sathuradasi,25-11-2023,11:52:00,26-11-2023,10:23:00
Pournami,26-11-2023,10:23:00,27-11-2023,09:15:00
Pirathamai,27-11-2023,09:15:00,28-11-2023,08:35:00
Thuthiyai,28-11-2023,08:35:00,29-11-2023,08:26:00
Thiruthiyai,29-11-2023,08:26:00,30-11-2023,08:54:00
Sathurthi,30-11-2023,08:54:00,01-12-2023,10:01:00
Panjami,01-12-2023,10:01:00,02-12-2023,11:44:00
Shasti,02-12-2023,11:44:00,03-12-2023,13:57:00
Sapthami,03-12-2023,13:57:00,04-12-2023,16:29:00
Astami,04-12-2023,16:29:00,05-12-2023,19:07:00
Navami,05-12-2023,19:07:00,06-12-2023,21:34:00
Thasami,06-12-2023,21:34:00,07-12-2023,23:36:00
Egadashi,07-12-2023,23:36:00,09-12-2023,01:01:00
Duvadasi,09-12-2023,01:01:00,10-12-2023,01:43:00
Thirayodasi,10-12-2023,01:43:00,11-12-2023,01:40:00
Sathuradasi,11-12-2023,01:40:00,12-12-2023,00:54:00
Amavasai,12-12-2023,00:54:00,12-12-2023,23:31:00
Pirathamai,12-12-2023,23:31:00,13-12-2023,21:39:00
Thuthiyai,13-12-2023,21:39:00,14-12-2023,19:25:00
Thiruthiyai,14-12-2023,19:25:00,15-12-2023,17:00:00
Sathurthi,15-12-2023,17:00:00,16-12-2023,14:30:00
Panjami,16-12-2023,14:30:00,17-12-2023,12:03:00
Shasti,17-12-2023,12:03:00,18-12-2023,09:43:00
Sapthami,17-12-2023,12:03:00,19-12-2023,07:36:00
Astami,18-12-2023,09:43:00,20-12-2023,05:44:00
Navami,20-12-2023,05:44:00,21-12-2023,04:07:00
Thasami,21-12-2023,04:07:00,22-12-2023,02:46:00
Egadashi,22-12-2023,02:46:00,23-12-2023,01:41:00
Duvadasi,23-12-2023,01:41:00,24-12-2023,00:54:00
Thirayodasi,24-12-2023,00:54:00,25-12-2023,00:24:00
Sathuradasi,25-12-2023,00:24:00,26-12-2023,00:16:00
Pournami,26-12-2023,00:16:00,27-12-2023,00:32:00
Pirathamai,27-12-2023,00:32:00,28-12-2023,01:16:00
Thuthiyai,28-12-2023,01:16:00,29-12-2023,02:29:00
Thiruthiyai,29-12-2023,02:29:00,30-12-2023,04:13:00
Sathurthi,30-12-2023,04:13:00,31-12-2023,06:25:00
Panjami,31-12-2023,06:25:00,01-01-2024,00:00:00
Sathurthi,01-01-0001,00:00:00,06-07-2023,22:42:00
Panjami,06-07-2023,22:42:00,07-07-2023,19:47:00
Shasti,07-07-2023,19:47:00,08-07-2023,17:21:00
Sapthami,08-07-2023,17:21:00,09-07-2023,15:29:00
Astami,09-07-2023,15:29:00,10-07-2023,14:14:00
Navami,10-07-2023,14:14:00,11-07-2023,13:34:00
Sathurthi,01-01-0001,00:00:00,06-07-2023,22:42:00
Panjami,06-07-2023,22:42:00,07-07-2023,19:47:00
Shasti,07-07-2023,19:47:00,08-07-2023,17:21:00
Sapthami,08-07-2023,17:21:00,09-07-2023,15:29:00
Astami,09-07-2023,15:29:00,10-07-2023,14:14:00
Navami,10-07-2023,14:14:00,11-07-2023,13:34:00
Thasami,11-07-2023,13:34:00,12-07-2023,13:29:00
Egadashi,12-07-2023,13:29:00,13-07-2023,13:54:00
